par_state,par_county,kid_race,par_pctile,shrunk_xkid_delinq90_02020,county_name
1,61,Pooled,75,.3577178947368421,Geneva
1,61,AIAN,75,.7472,Geneva
1,61,Pooled,50,.4843197513885216,Geneva
1,61,White,25,.575,Geneva
1,61,Black,75,.5716,Geneva
1,61,Hispanic,25,.6337,Geneva
1,61,AIAN,25,.5826,Geneva
1,61,AIAN,-9,.6649,Geneva
1,61,Black,25,.7662,Geneva
1,61,Pooled,25,.610921608040201,Geneva
1,61,Black,-9,.7308181818181818,Geneva
1,61,White,-9,.4885051282051281,Geneva
1,61,Hispanic,-9,.4714,Geneva
1,61,AIAN,50,.6649,Geneva
1,61,White,50,.4469,Geneva
1,61,Hispanic,50,.4714,Geneva
1,61,Pooled,-9,.529104081632653,Geneva
1,61,Hispanic,75,.3091,Geneva
1,61,Black,50,.6689000000000001,Geneva
1,63,Hispanic,75,.275,Greene
1,63,Hispanic,25,.6911,Greene
1,63,Pooled,25,.7447666666666667,Greene
1,63,Pooled,75,.457625641025641,Greene
1,63,Black,-9,.7563320388349515,Greene
1,63,White,25,.5171,Greene
1,63,Black,25,.765,Greene
1,63,Black,50,.7092000000000001,Greene
1,63,White,-9,.43165,Greene
1,63,White,50,.43165,Greene
1,63,Hispanic,50,.48305,Greene
1,63,White,75,.3462,Greene
1,63,Pooled,-9,.7003281746031746,Greene
1,63,Black,75,.6534,Greene
1,63,Hispanic,-9,.4830500000000001,Greene
1,63,Pooled,50,.6011961538461539,Greene
1,65,Hispanic,-9,.5990500000000001,Hale
1,65,White,25,.5527,Hale
1,65,Black,75,.6465,Hale
1,65,Hispanic,25,.5773,Hale
1,65,Pooled,50,.5851327972027972,Hale
1,65,Pooled,25,.7244292307692307,Hale
1,65,Hispanic,75,.6208,Hale
1,65,Black,50,.713,Hale
1,65,Hispanic,50,.5990500000000001,Hale
1,65,Pooled,75,.4458363636363636,Hale
1,65,White,75,.3738,Hale
1,65,Black,-9,.7694622641509434,Hale
1,65,White,-9,.4572866666666667,Hale
1,65,White,50,.46325,Hale
1,65,Black,25,.7795,Hale
1,65,Pooled,-9,.6539804597701149,Hale
1,67,Hispanic,75,.4128,Henry
1,67,White,25,.5569,Henry
1,67,White,-9,.4500338709677419,Henry
1,67,Pooled,75,.3715847222222222,Henry
1,67,Black,75,.6108,Henry
1,67,Hispanic,25,.6677,Henry
1,67,Black,25,.7562,Henry
1,67,Hispanic,50,.54025,Henry
1,67,Pooled,25,.6618134751773049,Henry
1,67,White,75,.3323,Henry
1,67,White,50,.4446,Henry
1,67,Pooled,-9,.5637079812206572,Henry
1,67,Pooled,50,.5166990986997636,Henry
1,67,Black,-9,.7400444444444444,Henry
1,67,Hispanic,-9,.54025,Henry
1,67,Black,50,.6835,Henry
